,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,racepctblack,racePctWhite,racePctAsian,racePctHisp,nonViolPerPop,ViolentCrimesPerPop,State
120,12.36,29.89,14.99,4.55,61.28,92.53,63.6,0.35,44.46,0.43,96.08,2.64,4.68,3498.37,178.33,New Jersey
121,18.23,35.46,18.21,7.69,62.05,89.17,39.98,1.78,26.69,2.09,84.17,4.77,41.18,4128.14,294.3,New Jersey
122,2.23,6.0,65.87,2.85,70.19,92.01,76.17,0.21,20.6,2.58,81.9,14.72,2.66,2641.81,103.24,New Jersey
123,6.64,16.83,37.7,4.03,63.27,97.15,68.89,1.38,44.6,5.73,87.64,5.58,4.42,3897.9,297.32,New Jersey
124,6.1,12.51,49.26,3.51,62.33,97.05,66.11,1.22,32.32,4.44,91.87,2.88,2.81,1609.44,50.49,New Jersey
125,3.07,9.24,45.34,3.37,73.56,94.43,63.25,0.4,42.97,6.44,86.37,5.34,5.43,1915.21,95.76,New Jersey
126,8.23,15.14,42.2,4.77,60.52,90.44,58.44,2.73,46.18,1.31,77.21,20.33,5.56,3378.53,425.03,New Jersey
127,10.73,28.98,17.2,5.16,64.3,95.13,53.25,3.22,30.12,3.67,86.07,6.01,10.06,4077.64,485.98,New Jersey
128,12.66,33.88,8.82,6.47,58.24,93.15,58.47,5.73,37.44,1.99,96.35,0.64,2.58,2059.4,238.59,New Jersey
129,5.79,21.47,16.33,6.25,72.44,93.14,44.47,1.88,30.26,16.16,80.24,2.18,3.2,5151.53,602.9,New Jersey
130,7.33,22.6,19.69,7.62,64.1,96.28,62.04,1.02,30.95,38.03,56.42,2.63,11.44,3032.21,483.61,New Jersey
131,11.31,33.85,12.21,8.58,62.92,87.19,55.52,9.58,53.35,55.07,36.34,1.83,10.54,5524.15,1730.67,New Jersey
132,16.88,41.46,9.16,9.96,52.78,94.16,52.1,22.06,61.39,36.93,54.72,0.81,9.66,8005.85,2241.85,New Jersey
133,10.57,25.17,21.5,4.56,61.39,97.66,76.95,2.88,50.44,9.38,86.51,3.35,4.48,5287.25,409.11,New Jersey
134,3.61,9.13,52.54,2.55,68.42,98.64,95.01,0.0,31.4,1.08,89.25,9.32,1.86,3457.98,85.15,New Jersey
135,23.34,44.38,14.2,10.94,60.74,95.49,28.08,2.26,46.49,20.6,45.32,7.05,50.01,5547.47,1075.77,New Jersey
136,7.27,17.02,29.15,3.65,66.14,96.03,63.36,1.78,11.83,6.59,89.35,3.51,3.09,2056.58,86.9,New Jersey
137,4.81,15.89,26.83,4.45,65.6,93.26,82.13,3.57,53.38,0.57,98.37,0.85,1.05,2105.66,80.26,New Jersey
138,10.98,30.16,11.64,6.41,61.39,94.98,63.15,5.88,44.31,8.44,86.65,0.6,7.59,5306.58,952.56,New Jersey
139,9.36,21.7,24.47,5.46,65.79,93.67,49.47,3.58,25.08,11.95,81.1,3.83,8.09,4658.94,220.3,New Jersey
140,5.5,15.51,33.82,4.46,69.26,96.77,66.9,0.94,28.18,5.56,79.49,13.72,4.33,3498.99,143.94,New Jersey
141,6.13,14.6,31.19,3.68,61.02,98.53,91.08,0.0,11.21,0.79,88.23,10.48,3.65,13627.73,407.57,New Jersey
142,7.28,19.05,18.65,4.53,68.59,98.27,90.81,3.39,47.46,6.33,87.83,4.01,4.42,4846.13,251.32,New Jersey
143,20.43,35.42,13.1,5.74,61.83,96.49,71.28,3.24,43.24,3.94,93.77,1.15,7.53,1744.69,272.83,New Jersey
144,2.56,9.5,43.92,3.89,64.55,95.95,94.56,2.33,69.19,3.62,90.11,5.84,2.12,1674.13,167.41,New Jersey
145,4.13,10.4,41.26,3.47,75.11,94.9,75.66,1.27,38.4,17.32,76.3,5.13,3.47,3101.3,232.79,New Jersey
146,5.41,14.19,33.8,3.28,66.78,94.63,83.87,2.79,41.2,4.7,90.47,4.24,3.46,3009.44,85.1,New Jersey
147,17.83,38.64,15.3,7.65,61.35,91.31,38.84,0.25,34.4,1.35,90.5,3.32,15.5,2776.99,310.65,New Jersey
148,4.08,10.22,40.03,3.5,76.13,94.44,74.64,1.44,34.3,6.18,84.05,8.85,3.69,2508.28,141.42,New Jersey
149,16.44,41.82,10.53,10.86,55.81,91.56,51.11,25.69,56.92,49.27,42.17,0.66,14.13,7289.2,2065.29,New Jersey
150,3.77,11.44,46.09,2.15,66.38,96.39,90.49,1.36,36.73,4.18,93.8,1.39,1.45,7085.89,444.97,New Jersey
151,8.59,22.83,17.78,5.36,64.77,96.34,65.72,5.74,40.44,20.21,75.39,2.39,7.55,3873.63,390.07,New Jersey
152,10.96,23.97,28.04,6.12,59.69,91.61,47.49,10.72,55.71,26.41,68.87,1.78,5.86,6696.6,458.81,New Jersey
153,3.81,9.03,53.11,2.75,67.65,96.06,79.46,0.69,39.52,5.88,90.35,3.1,2.03,1437.0,96.77,New Jersey
154,1.64,6.02,53.23,2.24,65.01,97.17,91.15,0.0,36.61,2.21,91.69,5.95,1.9,1507.45,78.88,New Jersey
155,10.61,26.45,21.7,6.58,65.42,94.7,59.27,3.26,39.07,18.26,73.47,2.73,11.34,4520.89,669.13,New Jersey
156,8.68,22.02,15.22,4.56,67.06,95.31,60.4,1.37,35.62,21.1,74.35,2.67,3.66,4950.18,439.32,New Jersey
157,22.72,39.87,11.49,6.34,61.85,95.53,42.64,0.78,45.31,2.24,93.83,1.66,9.05,2840.48,285.93,New Jersey
158,7.96,26.5,12.57,5.09,64.53,96.42,77.8,4.09,21.07,10.18,87.91,1.11,1.94,5637.86,383.23,New Jersey
159,13.43,34.37,9.9,6.7,24.82,89.04,95.24,0.61,58.47,3.27,95.79,0.48,1.97,879.92,89.07,New Jersey
160,11.39,29.95,16.61,5.88,58.48,95.62,40.55,3.8,45.56,4.71,90.44,1.84,9.5,2789.45,487.27,New Jersey
161,9.23,22.57,19.84,4.85,64.44,97.03,72.9,2.05,33.07,6.46,86.61,5.47,5.56,3967.5,408.3,New Jersey
162,7.57,19.18,23.56,4.08,60.9,97.96,81.26,0.87,45.22,0.1,97.86,1.64,2.93,2072.09,106.6,New Jersey
163,5.85,17.15,28.03,5.16,69.55,95.71,80.47,6.42,44.91,11.4,83.6,3.4,4.99,3309.77,297.32,New Jersey
164,9.76,27.39,20.06,8.18,55.47,95.85,60.51,8.89,40.56,20.13,78.34,0.68,1.69,5458.31,517.6,New Jersey
165,13.0,30.57,9.26,6.58,60.61,96.92,70.82,6.19,51.9,5.82,84.31,4.03,14.51,3479.12,462.84,New Jersey
166,14.08,34.32,21.43,10.83,58.63,90.8,29.62,9.39,39.85,29.69,48.25,11.36,24.24,6265.54,2017.65,New Jersey
167,3.3,10.12,22.91,4.96,70.64,78.53,89.85,0.71,78.59,0.37,98.68,0.59,2.18,2118.64,115.14,New Jersey
168,6.03,20.92,17.93,5.12,66.78,97.94,89.24,2.67,38.0,0.86,95.09,3.41,3.74,1317.85,69.59,New Jersey
169,5.66,20.55,15.4,3.35,62.77,65.92,60.32,0.57,62.96,1.39,95.12,1.48,5.27,5919.23,313.48,New Jersey
170,7.91,20.49,28.19,5.15,63.16,96.3,67.33,1.23,42.51,1.76,92.73,4.7,3.27,2508.71,279.55,New Jersey
171,12.35,27.14,20.43,4.71,62.31,96.81,60.81,0.42,41.54,1.4,92.76,3.5,6.8,3085.26,205.68,New Jersey
172,7.19,20.26,23.4,3.61,68.89,97.12,74.87,0.85,51.28,0.54,97.23,1.53,2.98,2242.31,54.25,New Jersey
173,4.8,10.96,41.3,2.64,73.18,96.04,85.53,0.65,51.4,1.6,92.63,5.07,2.53,2500.79,88.7,New Jersey
174,5.42,20.42,18.2,3.88,68.6,96.98,69.85,1.73,30.3,3.86,94.87,0.92,1.28,3110.08,142.71,New Jersey
175,5.17,14.18,32.08,4.36,61.5,94.03,93.36,1.48,34.88,3.07,92.84,3.58,2.73,1595.59,89.44,New Jersey
176,5.33,14.32,33.68,3.11,73.19,96.88,58.06,0.85,28.76,3.6,85.09,10.14,4.15,2640.19,148.57,New Jersey
177,10.75,28.56,18.88,8.65,66.65,94.29,50.98,5.56,39.48,65.65,26.5,1.06,15.02,6603.0,1576.9,New Jersey
178,3.85,10.31,42.98,3.85,75.39,94.93,90.65,1.0,35.5,1.35,94.37,3.99,1.57,1649.15,76.9,New Jersey
179,8.1,21.56,20.04,3.79,70.85,96.18,76.78,0.0,29.79,1.68,95.17,2.25,3.29,2590.64,141.44,New Jersey
180,4.63,10.36,43.34,3.98,72.16,93.81,80.53,1.78,13.14,3.58,90.63,3.85,2.97,2086.23,80.24,New Jersey
181,6.68,14.61,28.81,3.62,68.45,97.63,88.34,2.88,35.58,0.26,97.86,1.63,2.03,2322.61,112.75,New Jersey
182,5.67,12.19,40.26,2.43,70.97,91.94,68.75,0.25,44.99,6.47,85.13,7.81,1.93,4821.63,269.6,New Jersey
183,3.5,8.76,55.5,2.69,59.94,96.45,80.44,0.0,44.25,0.86,84.65,13.92,3.5,1849.22,44.92,New Jersey
184,10.45,36.55,5.3,11.03,58.76,90.57,59.12,8.35,58.23,0.79,97.02,0.72,5.0,1914.77,635.43,New Jersey
185,3.36,13.72,26.62,4.64,58.94,37.47,53.73,0.18,70.51,4.93,93.96,0.5,1.31,10404.66,291.41,New Jersey
186,7.74,23.51,8.91,5.5,68.46,95.5,73.04,13.92,40.08,22.82,68.79,4.35,8.05,2802.19,377.16,New Jersey
187,6.17,17.56,27.34,3.97,65.65,95.02,69.04,0.9,31.08,1.72,95.26,1.92,3.64,4460.37,320.4,New Jersey
188,31.16,50.1,12.38,8.59,61.0,91.29,22.66,3.93,32.51,4.0,76.72,1.95,73.26,5284.79,568.75,New Jersey
189,14.86,32.3,15.0,5.05,62.1,97.36,62.35,0.55,30.05,0.83,93.71,3.41,8.63,4552.31,122.88,New Jersey
190,7.71,27.82,12.48,6.23,54.54,61.64,83.73,0.41,45.77,0.25,98.73,0.68,1.25,2973.54,233.22,New Jersey
191,3.01,8.77,48.1,3.32,71.88,95.69,71.06,0.64,26.92,2.98,90.88,5.33,3.26,1822.05,43.5,New Jersey
192,10.5,22.03,26.55,5.45,63.62,95.5,38.43,0.37,41.18,1.57,75.06,20.02,11.5,1888.03,111.83,New Jersey
193,1.42,3.84,59.22,3.39,83.75,88.02,39.34,0.22,22.82,10.71,78.21,9.88,3.88,2512.49,162.1,New Jersey
194,15.25,29.51,27.55,8.2,65.64,90.54,31.24,1.7,55.68,4.5,83.46,2.7,41.44,5690.74,583.07,New Jersey
195,11.2,31.25,13.53,11.82,57.89,89.33,23.05,5.6,25.94,59.39,35.42,0.73,9.13,7331.38,2052.79,New Jersey
196,4.52,13.03,35.45,2.68,73.21,96.3,86.1,1.69,58.19,0.47,97.44,1.74,1.6,1173.9,51.04,New Jersey
197,7.21,18.46,25.49,5.73,63.43,97.06,62.83,0.0,30.48,1.58,90.57,7.0,5.08,1725.21,155.14,New Jersey
